text_a	text_b	score
通过翻译，我们交谈了半个小时。	或许，最常用的就是四小时化学需氧量（4-hour COD）。	0.0
这瓶酒喝了我半个月的工资。	这瓶酒花了我半个月的工资。	1.0
我找个朋友，别人托我办点事儿。	别人托我找个朋友办点事儿。	1.0
人人都看见她了。	同年9月13日，玛丽亚·特蕾西娅的夫婿弗朗茨当选神圣罗马皇帝，是为神圣罗马皇帝弗朗茨一世，令帝位重新落入哈布斯堡家族成员手中。	0.0
我写好了信。	江苏省热处理及表面改性工程研究中心	0.0
我看见了你的钢笔。	柯蒂斯飞机与发动机公司（又译寇帝斯飞机与发动机公司）是一家美国飞机制造上市公司，由其总裁格伦·柯蒂斯(Glenn Hammond Curtiss)于1916年创建。	0.0
离远点儿，省得伤着你。	离远点儿，以免伤着你。	1.0
她在每本书上都签了名字。	两根中央尾羽极夸张的长，并且翘翘地指向天空，这也是针尾鸭名字的来历。	0.0
谁也不知道事情的真相。	西装虽然源自欧洲，但现已成为国际通行的正式服装，是表示礼貌、尊重场合的一种方式。	0.0
到时候我们不得学个文件什么的。	到2009年12月份，基督教研究所发表题为我们错了 We Were Wrong的文章，基督教研究院以长达六年的第一手研究为基础，作出以下结论：地方教会是一个真实、正统的新约基督教会（同上），重新证识地方召会的立场。	0.0
我写好了信。	道济于宋嘉定二年（1209年）五月十六日于净慈寺圆寂，临终前曾作一偈：六十年来狼籍，东壁打到西壁。	0.0
忙得我团团转。	马其顿的崛起。	0.0
没你这么干的。	他的求学因为第二次世界大战的爆发而中断，但是，他仍然拥有诗词、语言研究方面的才华，诗、戏剧及语言学，才是他主要兴趣的所在。	0.0
他曾经长期不上班。	该国甚至涉嫌包庇隐瞒，世界反禁药组织公布了报告，指控俄罗斯政府和俄罗斯反禁药机构合谋长期捏造俄国运动选手的禁药检验报告。	0.0
算是罚我个包揽闲事。	榆树市生产的冰峰啤酒，清洌爽口，食品厂的冰晶汽水也在市民中享有盛誉。	0.0
他毕竟是一个孩子。	盾牌的正中上方有一个十字架，而十字架上有代表主教的主教帽；	0.0
她在图书馆里从书架上拿了一本书。	在一个用于感光的CCD中，有一个光敏区域（矽的外延层），和一个由移位寄存器制成的传感区域（狭义上的CCD）。	0.0
墙上挂着齐白石的画。	齐白石的画挂在墙上。	1.0
他有的是书。	基辅大公弗谢沃洛德三世	0.0
我不希望他不了解情况。	吉土巴语在安哥拉的情况不祥。	0.0
她没叠好被子。	母亲江第一次结婚不久被迫离婚，改嫁给丰臣秀胜（母亲是秀吉的姊姊瑞龙院）。	0.0
把东西放好。	随后902号航班在科皮亚维湖上空进行耗油盘旋。	0.0
一旦有机会，就要全力以赴。	"甚至到了今天，一些年长的波特兰居民听到有人提及兔子时仍会受到冒犯或者默不作声， 在2005年10月，电影公司在当地宣传酷狗宝贝之魔兔诅咒时，还特地更改了电影的标题，以""Something bunny is going on""作为取代。"	0.0
我从小王那儿借了两本小说。	宗教方面，当时的罗马与凯尔特的多神论亦出现综摄现象。	0.0
这事他不会不告诉我的。	现代发明与世博会。	0.0
这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又主动向美国控制下的伊拉克临时管理委员会示好。	这个国家的政府，既谴责美国对伊拉克的军事占领，又主动向美国控制下的伊拉克临时管理委员会示好。	1.0
我国在这一方面的法律规定与贵国的法律规定相同。	土邦在实际情况下受条约的约定，权限各不相同。	0.0
